End User Guid,Task ID,Task Name,Task Completion Date
zech@company39.com,10260,Where does Rentlytics' data come from?,10/7/15 22:16
good@company39.com,9021,How to Navigate Rentlytics,10/7/15 22:18
sequoia@company40.com,8467,How to Find Help,10/7/15 22:18
labelle@company40.com,10262,How is Actual Rent calculated?,10/7/15 22:19
caruso@company40.com,10262,How is Actual Rent calculated?,10/7/15 21:53
wilsey@company40.com,10260,Where does Rentlytics' data come from?,10/8/15 0:30
steiner@company40.com,9021,How to Navigate Rentlytics,10/8/15 0:32
clark@company50.com,10260,Where does Rentlytics' data come from?,10/8/15 0:37
rubin@company50.com,10262,How is Actual Rent calculated?,10/8/15 0:38
harris@company53.com,9018,How to Adjust Property Groups,10/8/15 0:41
galus@company53.com,10262,How is Actual Rent calculated?,10/8/15 21:27
thrower@company54.com,10260,Where does Rentlytics' data come from?,10/7/15 21:55
gajic@company58.com,10260,Where does Rentlytics' data come from?,10/7/15 22:16
brady@company63.com,9021,How to Navigate Rentlytics,10/7/15 22:18
cavalcanti@company65.com,8467,How to Find Help,10/7/15 22:18
bh management@company65.com,10262,How is Actual Rent calculated?,10/7/15 22:19
weber@company65.com,10262,How is Actual Rent calculated?,10/7/15 21:53
amaro@company65.com,10260,Where does Rentlytics' data come from?,10/8/15 0:30
demo@company65.com,9021,How to Navigate Rentlytics,10/8/15 0:32
clissold@company66.com,10260,Where does Rentlytics' data come from?,10/8/15 0:37
westrate@company66.com,10262,How is Actual Rent calculated?,10/8/15 0:38
richards@company66.com,9018,How to Adjust Property Groups,10/8/15 0:41
harris-roberson@company67.com,10262,How is Actual Rent calculated?,10/8/15 21:27
chan@company67.com,10260,Where does Rentlytics' data come from?,10/7/15 21:55
bertell@company67.com,10260,Where does Rentlytics' data come from?,10/7/15 22:16
holmes@company68.com,9021,How to Navigate Rentlytics,10/7/15 22:18
m@company68.com,8467,How to Find Help,10/7/15 22:18
welsch@company68.com,10262,How is Actual Rent calculated?,10/7/15 22:19
stewart@company68.com,10262,How is Actual Rent calculated?,10/7/15 21:53
springer@company1.com,10260,Where does Rentlytics' data come from?,10/8/15 0:30
vendorhelp@company2.com,9021,How to Navigate Rentlytics,10/8/15 0:32
ramsey@company2.com,10260,Where does Rentlytics' data come from?,10/8/15 0:37
thompson@company2.com,10262,How is Actual Rent calculated?,10/8/15 0:38
mitts@company2.com,9018,How to Adjust Property Groups,10/8/15 0:41
gordon@company2.com,10262,How is Actual Rent calculated?,10/8/15 21:27
trilogy@company2.com,10260,Where does Rentlytics' data come from?,10/7/15 21:55
ludwig@company2.com,10260,Where does Rentlytics' data come from?,10/7/15 22:16
sycamore@company2.com,9021,How to Navigate Rentlytics,10/7/15 22:18
giambanco@company2.com,8467,How to Find Help,10/7/15 22:18
ferrer@company2.com,10262,How is Actual Rent calculated?,10/7/15 22:19
sines@company2.com,10262,How is Actual Rent calculated?,10/7/15 21:53
lucas@company2.com,10260,Where does Rentlytics' data come from?,10/8/15 0:30
salinas@company2.com,9021,How to Navigate Rentlytics,10/8/15 0:32
martinez@company3.com,10260,Where does Rentlytics' data come from?,10/8/15 0:37
swartz@company3.com,10262,How is Actual Rent calculated?,10/8/15 0:38
marshall@company3.com,9018,How to Adjust Property Groups,10/8/15 0:41
dora@company3.com,10262,How is Actual Rent calculated?,10/8/15 21:27
epoch@company4.com,10260,Where does Rentlytics' data come from?,10/7/15 21:55
wenzel@company5.com,10260,Where does Rentlytics' data come from?,10/7/15 22:16
vannelli@company9.com,9021,How to Navigate Rentlytics,10/7/15 22:18
investor@company9.com,8467,How to Find Help,10/7/15 22:18
teufel@company11.com,10262,How is Actual Rent calculated?,10/7/15 22:19
sanchez@company17.com,10262,How is Actual Rent calculated?,10/7/15 21:53
demo@company30.com,10260,Where does Rentlytics' data come from?,10/8/15 0:30
dominguez@company30.com,9021,How to Navigate Rentlytics,10/8/15 0:32
ipa@company33.com,10260,Where does Rentlytics' data come from?,10/8/15 0:37
soffin@company33.com,10262,How is Actual Rent calculated?,10/8/15 0:38
marshall@company36.com,9018,How to Adjust Property Groups,10/8/15 0:41
martinez@company39.com,10262,How is Actual Rent calculated?,10/8/15 21:27
sycamore@company39.com,10260,Where does Rentlytics' data come from?,10/7/15 21:55
tsourounis@company39.com,10260,Where does Rentlytics' data come from?,10/7/15 22:16
zech@company39.com,9021,How to Navigate Rentlytics,10/7/15 22:18
good@company39.com,8467,How to Find Help,10/7/15 22:18
sequoia@company40.com,10262,How is Actual Rent calculated?,10/7/15 22:19
labelle@company40.com,10262,How is Actual Rent calculated?,10/7/15 21:53
caruso@company40.com,10260,Where does Rentlytics' data come from?,10/8/15 0:30
wilsey@company40.com,9021,How to Navigate Rentlytics,10/8/15 0:32
steiner@company40.com,10260,Where does Rentlytics' data come from?,10/8/15 0:37
clark@company50.com,10262,How is Actual Rent calculated?,10/8/15 0:38
rubin@company50.com,9018,How to Adjust Property Groups,10/8/15 0:41
harris@company53.com,10262,How is Actual Rent calculated?,10/8/15 21:27
galus@company53.com,10260,Where does Rentlytics' data come from?,10/7/15 21:55
thrower@company54.com,10260,Where does Rentlytics' data come from?,10/7/15 22:16
gajic@company58.com,9021,How to Navigate Rentlytics,10/7/15 22:18
brady@company63.com,8467,How to Find Help,10/7/15 22:18
cavalcanti@company65.com,10262,How is Actual Rent calculated?,10/7/15 22:19
bh management@company65.com,10262,How is Actual Rent calculated?,10/7/15 21:53
weber@company65.com,10260,Where does Rentlytics' data come from?,10/8/15 0:30
amaro@company65.com,9021,How to Navigate Rentlytics,10/8/15 0:32
demo@company65.com,10260,Where does Rentlytics' data come from?,10/8/15 0:37
clissold@company66.com,10262,How is Actual Rent calculated?,10/8/15 0:38
westrate@company66.com,9018,How to Adjust Property Groups,10/8/15 0:41
richards@company66.com,10262,How is Actual Rent calculated?,10/8/15 21:27
harris-roberson@company67.com,10260,Where does Rentlytics' data come from?,10/7/15 21:55
chan@company67.com,10260,Where does Rentlytics' data come from?,10/7/15 22:16
bertell@company67.com,9021,How to Navigate Rentlytics,10/7/15 22:18
holmes@company68.com,8467,How to Find Help,10/7/15 22:18
m@company68.com,10262,How is Actual Rent calculated?,10/7/15 22:19
welsch@company68.com,10262,How is Actual Rent calculated?,10/7/15 21:53
stewart@company68.com,10260,Where does Rentlytics' data come from?,10/8/15 0:30
wenzel@company5.com,9021,How to Navigate Rentlytics,10/8/15 0:32
vannelli@company9.com,10260,Where does Rentlytics' data come from?,10/8/15 0:37
investor@company9.com,10262,How is Actual Rent calculated?,10/8/15 0:38
teufel@company11.com,9018,How to Adjust Property Groups,10/8/15 0:41
sanchez@company17.com,10262,How is Actual Rent calculated?,10/8/15 21:27
demo@company30.com,10260,Where does Rentlytics' data come from?,10/7/15 21:55
dominguez@company30.com,10260,Where does Rentlytics' data come from?,10/7/15 22:16
ipa@company33.com,9021,How to Navigate Rentlytics,10/7/15 22:18
soffin@company33.com,8467,How to Find Help,10/7/15 22:18
marshall@company36.com,10262,How is Actual Rent calculated?,10/7/15 22:19
martinez@company39.com,10262,How is Actual Rent calculated?,10/7/15 21:53
sycamore@company39.com,10260,Where does Rentlytics' data come from?,10/8/15 0:30
tsourounis@company39.com,9021,How to Navigate Rentlytics,10/8/15 0:32
zech@company39.com,10260,Where does Rentlytics' data come from?,10/8/15 0:37
wenzel@company5.com,10262,How is Actual Rent calculated?,10/8/15 0:38
vannelli@company9.com,9018,How to Adjust Property Groups,10/8/15 0:41
investor@company9.com,10262,How is Actual Rent calculated?,10/8/15 21:27
teufel@company11.com,10260,Where does Rentlytics' data come from?,10/7/15 21:55
sanchez@company17.com,10260,Where does Rentlytics' data come from?,10/7/15 22:16
demo@company30.com,9021,How to Navigate Rentlytics,10/7/15 22:18
dominguez@company30.com,8467,How to Find Help,10/7/15 22:18
ipa@company33.com,10262,How is Actual Rent calculated?,10/7/15 22:19
soffin@company33.com,10262,How is Actual Rent calculated?,10/7/15 21:53
marshall@company36.com,10260,Where does Rentlytics' data come from?,10/8/15 0:30
martinez@company39.com,9021,How to Navigate Rentlytics,10/8/15 0:32
sycamore@company39.com,10260,Where does Rentlytics' data come from?,10/8/15 0:37
tsourounis@company39.com,10262,How is Actual Rent calculated?,10/8/15 0:38
zech@company39.com,9018,How to Adjust Property Groups,10/8/15 0:41
wenzel@company5.com,10262,How is Actual Rent calculated?,10/8/15 21:27
vannelli@company9.com,10260,Where does Rentlytics' data come from?,10/7/15 21:55
investor@company9.com,10260,Where does Rentlytics' data come from?,10/7/15 22:16
teufel@company11.com,9021,How to Navigate Rentlytics,10/7/15 22:18
sanchez@company17.com,8467,How to Find Help,10/7/15 22:18
demo@company30.com,10262,How is Actual Rent calculated?,10/7/15 22:19
dominguez@company30.com,10262,How is Actual Rent calculated?,10/7/15 21:53
ipa@company33.com,10260,Where does Rentlytics' data come from?,10/8/15 0:30
soffin@company33.com,9021,How to Navigate Rentlytics,10/8/15 0:32
marshall@company36.com,10260,Where does Rentlytics' data come from?,10/8/15 0:37
martinez@company39.com,10262,How is Actual Rent calculated?,10/8/15 0:38
sycamore@company39.com,9018,How to Adjust Property Groups,10/8/15 0:41
tsourounis@company39.com,10262,How is Actual Rent calculated?,10/8/15 21:27
zech@company39.com,10260,Where does Rentlytics' data come from?,10/7/15 21:55
wenzel@company5.com,10260,Where does Rentlytics' data come from?,10/7/15 22:16
vannelli@company9.com,9021,How to Navigate Rentlytics,10/7/15 22:18
investor@company9.com,8467,How to Find Help,10/7/15 22:18
teufel@company11.com,10262,How is Actual Rent calculated?,10/7/15 22:19
